rank,flat_element_index,displacement_angstrom,dft_h_eV,sr_fixed_lr_h_eV,full_h_eV,dft_derivative_eV_per_A,sr_derivative_eV_per_A,full_derivative_eV_per_A
3,739466,0.02,0.02866694220819934,0.01604897680120643,0.01042647261661232,1.426755878268752,0.8480916125986029,0.6413248093391344
3,739466,0.0225,0.03223137992419009,0.01818349808517317,0.01204899791148938,1.424920132499729,0.8594935730412936,0.6557573877024279
3,739466,0.025,0.03579147470293598,0.02034609912832029,0.01370102098391833,1.423089772209586,0.8703689498881125,0.6657470291244246
3,739466,0.0275,0.03934686939499254,0.02253548648109307,0.01537122039577687,1.421253180511995,0.8808374866898464,0.6707038674763931
3,739466,0.03,0.04289771556778114,0.02474987357688589,0.01705071761216916,1.419410357406955,0.890899183446496,0.6706279027583343
4,825971,-0.03,-0.8978657161644052,-0.8889816151340497,-0.8818188075903408,1.393900906925565,0.9006355964593746,0.7764115400037938
4,825971,-0.0275,-0.894380107611096,-0.886732277388803,-0.8798792797658426,1.394576132154748,0.8999330632572319,0.7718418461833719
4,825971,-0.025,-0.8908928538481276,-0.8844843249475827,-0.8779623856727022,1.395251315144892,0.8982753466323895,0.7629450089557431
4,825971,-0.0225,-0.8874038066362422,-0.8822393162362288,-0.8760737728534322,1.395926455896088,0.895662446584879,0.7497210283208915
4,825971,-0.02,-0.8839132800359272,-0.8800036879292462,-0.874215237250666,1.396612419281396,0.8909780173717508,0.7319354648863481
4,825971,-0.0175,-0.8804207965880644,-0.8777845174297174,-0.8724126364919651,1.397271829151691,0.8877681295382018,0.7126328086897757
4,825971,-0.015,-0.876926831962758,-0.8755675459079673,-0.8706699230455337,1.397905729723306,0.8869892596319033,0.6855200871545009
4,825971,-0.0125,-0.873431370112604,-0.8733465330484523,-0.8689782996700697,1.398484728743981,0.8876920406402888,0.6524945994933233
4,825971,-0.01,-0.8699344000771257,-0.8711289254382115,-0.8674139194132283,1.399074244075379,0.8921362002258206,0.6070498756965037
4,825971,-0.0075,-0.8664360301321173,-0.8689116368069281,-0.8659373103138435,1.399630630442914,0.8809941232213134,0.572707825114577
4,825971,-0.005,-0.8629362335447248,-0.8667001877760934,-0.86459598875398,1.400176995417027,0.8484366856615253,0.5094060055528757
4,825971,-0.0025,-0.8594352039012929,-0.8646349187614577,-0.8632812929234898,1.400694910466953,0.8346951856105846,0.4823075512243804
4,825971,0,-0.8559327638782992,-0.8625894257260537,-0.8622911275712117,1.401181360351956,0.8548093433952033,0.4665286886718008
4,825971,0.0025,-0.8524292774036728,-0.8603610323491291,-0.8609623779174633,1.401650412226857,0.8747071622339888,0.4352742247558723
4,825971,0.005,-0.8489245873560201,-0.858153619500021,-0.8599980711456509,1.402098221243378,0.8602778019137247,0.3754762437908852
4,825971,0.0075,-0.8454187676555956,-0.8560945640763391,-0.8591807432118257,1.402543044554179,0.8265601096704813,0.2867143651117914
4,825971,0.01,-0.8419118832242243,-0.8540449599212998,-0.8585272914008962,1.402962419432328,0.8137683505503617,0.2590370194055254
4,825971,0.0125,-0.8384039907272844,-0.8520004026916981,-0.8578739382530403,1.403361390271002,0.8160499013921054,0.2563809506081327
4,825971,0.015,-0.8348950852922503,-0.8499652632932653,-0.8572183715397701,1.403727969867859,0.8140814662211682,0.280858960256694
4,825971,0.0175,-0.8313853057731135,-0.847933433925715,-0.8564695943275488,1.40410827327743,0.8101103713182312,0.3132330758820245
4,825971,0.02,-0.8278746532510157,-0.8459124064708935,-0.8556324198588882,1.40447558835308,0.8032321482005074,0.3533132838237378
4,825971,0.0225,-0.8243628806314972,-0.8439175665361142,-0.8547049615740365,1.404839565451951,0.7944457398153304,0.3935872533509865
4,825971,0.025,-0.8208504640131068,-0.8419428606398799,-0.8536650278927715,1.405159817895145,0.787323255239468,0.4354346455527432
4,825971,0.0275,-0.8173371423975604,-0.8399829011913631,-0.8525177857419639,1.405447458913833,0.7807365490838977,0.4793957575132903
4,825971,0.03,-0.8138232218501558,-0.8380371480515955,-0.8512674651916855,1.405702488507972,0.7746856213485709,0.5254705892326336
5,681886,-0.03,1.555940878299744,1.560441314831235,1.565253040148266,3.870721007944255,3.55467271454337,3.312737921965736
